[2011/07/18 Mon 10:41:21] Check Leaks ===================================================>
Memory Stay ------> 0x102f4070 (size  16, ../../common/cmr_xml.cpp:1189)
Memory Stay ------> 0x103400f0 (size   4, <Unknown>:0   )
Memory Stay ------> 0x1032c060 (size   4, <Unknown>:0   )
Memory Stay ------> 0x10334098 (size   4, <Unknown>:0   )
Memory Stay ------> 0x102d0080 (size   4, <Unknown>:0   )
Memory Stay ------> 0x102dc0c0 (size  12, <Unknown>:0   )
Memory Stay ------> 0x102d80d8 (size  32, <Unknown>:0   )
Memory Stay ------> 0x10314050 (size  14, <Unknown>:0   )
Memory Stay ------> 0x103100e8 (size  14, <Unknown>:0   )
Memory Stay ------> 0x1030c058 (size  12, <Unknown>:0   )
Memory Stay ------> 0x10300038 (size  14, <Unknown>:0   )
Memory Stay ------> 0x102fc0f0 (size  14, <Unknown>:0   )
Memory Stay ------> 0x102f4088 (size  12, <Unknown>:0   )
Memory Stay ------> 0x102f4000 (size  12, <Unknown>:0   )
Memory Stay ------> 0x102f40b0 (size  12, <Unknown>:0   )
Memory Stay ------> 0x102f40a0 (size  12, <Unknown>:0   )
Memory Stay ------> 0x102f4040 (size  12, <Unknown>:0   )
Memory Stay ------> 0x102f4058 (size  14, <Unknown>:0   )
Memory Stay ------> 0x102f4028 (size  14, <Unknown>:0   )
Memory Stay ------> 0x102f4010 (size  14, <Unknown>:0   )
Memory Stay ------> 0x102f40d8 (size  14, <Unknown>:0   )
Memory Stay ------> 0x102f40c0 (size  14, <Unknown>:0   )
Memory Stay ------> 0x102f40f8 (size  14, <Unknown>:0   )
Memory Stay ------> 0x102d8080 (size  12, <Unknown>:0   )
Memory Stay ------> 0x102d8070 (size  12, <Unknown>:0   )
Memory Stay ------> 0x102d80c0 (size  12, <Unknown>:0   )
Memory Stay ------> 0x102d80b0 (size  12, <Unknown>:0   )
Memory Stay ------> 0x102d8098 (size  14, <Unknown>:0   )
Memory Stay ------> 0x102d8040 (size  12, <Unknown>:0   )
Memory Stay ------> 0x102d8058 (size  14, <Unknown>:0   )
Memory Stay ------> 0x102c0000 (size  32, <Unknown>:0   )
Memory Stay ------> 0x102bc040 (size  32, <Unknown>:0   )
Memory Stay ------> 0x102b8080 (size  32, <Unknown>:0   )
Memory Stay ------> 0x102b40c0 (size  32, <Unknown>:0   )
Memory Stay ------> 0x102ac000 (size  32, <Unknown>:0   )
Memory Stay ------> 0x102a80d0 (size  20, <Unknown>:0   )
Memory Stay ------> 0x102a0048 (size  20, <Unknown>:0   )
Memory Stay ------> 0x1029c028 (size  20, <Unknown>:0   )
